"CountryCode","SeriesCode","DESCRIPTION",
"OED","fin14a.a.8","Only high-income countries are covered.",
"OED","fin14abca.t.d.3","Only high-income countries are covered.",
"OED","fin24a.t.a.1","Only high-income countries are covered.",
"OED","fin27a.t.a","Only high-income countries are covered.",
"OED","fin34a.t.a","Only high-income countries are covered.",
"OED","fin11c.a.s","Only high-income countries are covered.",
"OED","fin25b.t.a.s.4","Only high-income countries are covered.",
"OED","fing2p.t.d.10","Only high-income countries are covered.",
"OED","fin2.t.a.2","Only high-income countries are covered.",
"OED","fin22a.14.a.6","Only high-income countries are covered.",
"OED","fin28.t.a.2","Only high-income countries are covered.",
"OED","fin37.t.a.9","Only high-income countries are covered.",
"OED","fin22a.t.d.5","Only high-income countries are covered.",
"OED","fin24a.t.a.6","Only high-income countries are covered.",
"OED","fin25c.a.s.6","Only high-income countries are covered.",
"OED","fin29a.t.a.s","Only high-income countries are covered.",
"OED","fin33n.t.a.3","Only high-income countries are covered.",
"OED","fin7.t.a.11","Only high-income countries are covered.",
"OED","fin21b.t.14.a.1","Only high-income countries are covered.",
"OED","fin21b.t.14.a.7","Only high-income countries are covered.",
"OED","fin22c.a.9","Only high-income countries are covered.",
"OED","fin27.29c1.t.d","Only high-income countries are covered.",
"OED","fin27c1.t.d","Only high-income countries are covered.",
"OED","fin5.d.5","Only high-income countries are covered.",
"OED","fin5.d.7","Only high-income countries are covered.",
"OED","mobileaccount.t.d.4","Only high-income countries are covered.",
"OED","fin22b.t.a.1","Only high-income countries are covered.",
"OED","fin26.28.t.a.8","Only high-income countries are covered.",
"OED","fin27.29c2.t.a.s","Only high-income countries are covered.",
"OED","fin5.a","Only high-income countries are covered.",
"OED","fin17c.14.a.8","Only high-income countries are covered.",
"OED","g20.t.receive.2","Only high-income countries are covered.",
"OED","fin15.t.a.2","Only high-income countries are covered.",
"OED","fin20b.t.a.11","Only high-income countries are covered.",
"OED","fin38.a","Only high-income countries are covered.",
"OED","fin20b.t.a.8","Only high-income countries are covered.",
"OED","fin28.t.a.10","Only high-income countries are covered.",
"OED","fin33.14.a.1","Only high-income countries are covered.",
"OED","fin32.t.a.2","Only high-income countries are covered.",
"OED","g20.t.3","Only high-income countries are covered.",
"OED","fin16.t.a.9","Only high-income countries are covered.",
"OED","fin25d.a.s.5","Only high-income countries are covered.",
"OED","fin26.28.t.a.2","Only high-income countries are covered.",
"OED","account.t.d.4","Only high-income countries are covered.",
"OED","fin25c.a.s.3","Only high-income countries are covered.",
"OED","fin18.t.d.6","Only high-income countries are covered.",
"OED","fin21b.t.14.a.3","Only high-income countries are covered.",
"OED","fin25f.a.s.5","Only high-income countries are covered.",
"OED","fin46.a.10","Only high-income countries are covered.",
"OED","fin18.t.d.11","Only high-income countries are covered.",
"OED","fin34ay.t.d","Only high-income countries are covered.",
"OED","fin15.t.a.6","Only high-income countries are covered.",
"OED","fin25e.a.s.2","Only high-income countries are covered.",
"OED","fin25c.a.s.2","Only high-income countries are covered.",
"OED","fin33y.t.a.5","Only high-income countries are covered.",
"OED","fin21.t.a.7","Only high-income countries are covered.",
"OED","fin14abca.t.d.10","Only high-income countries are covered.",
"OED","fin25b.t.a.s.7","Only high-income countries are covered.",
"OED","fin38.a.9","Only high-income countries are covered.",
"OED","fin14abca.t.d.1","Only high-income countries are covered.",
"OED","fin2.t.a.3","Only high-income countries are covered.",
"OED","fin24b.t.a.1","Only high-income countries are covered.",
"OED","fin25a.t.a.s.7","Only high-income countries are covered.",
"OED","fin26.t.a.3","Only high-income countries are covered.",
"OED","fin29c1.t.d.s","Only high-income countries are covered.",
"OED","fin47c2.a.s","Only high-income countries are covered.",
"OED","fin46.a.4","Only high-income countries are covered.",
"OED","g20.t.made.5","Only high-income countries are covered.",
"OED","fin14b.a.4","Only high-income countries are covered.",
"OED","fin25f.a.s.9","Only high-income countries are covered.",
"OED","fin17a.t.a.10","Only high-income countries are covered.",
"OED","fin34c2y.t.a.s","Only high-income countries are covered.",
"OED","fin37.t.a.11","Only high-income countries are covered.",
"OED","fing2p.39c.t.d.s","Only high-income countries are covered.",
"OED","fin34b.t.a","Only high-income countries are covered.",
"OED","fin25e.a.s.8","Only high-income countries are covered.",
"OED","fin38.39c1.a","Only high-income countries are covered.",
"OED","fin22a.t.a.9","Only high-income countries are covered.",
"OED","fin29b.t.a.s","Only high-income countries are covered.",
"OED","g20.t.made.11","Only high-income countries are covered.",
"OED","fin1.t.a.5","Only high-income countries are covered.",
"OED","fin17a.t.a.8","Only high-income countries are covered.",
"OED","fin17c.14.a.2","Only high-income countries are covered.",
"OED","fin25b.t.a.s.5","Only high-income countries are covered.",
"OED","fin25f.a.s.11","Only high-income countries are covered.",
"OED","fin27c2.t.a","Only high-income countries are covered.",
"OED","g20.t.receive.8","Only high-income countries are covered.",
"OED","fin22a.t.a.1","Only high-income countries are covered.",
"OED","fin65e.11.a.8","Only high-income countries are covered.",
"OED","fin7.t.a.3","Only high-income countries are covered.",
"OED","fin23.t.d.5","Only high-income countries are covered.",
"OED","fing2p.39b.t.d.s","Only high-income countries are covered.",
"OED","fin17a.t.a.2","Only high-income countries are covered.",
"OED","fin22a.t.d.3","Only high-income countries are covered.",
"OED","fin22c.a.2","Only high-income countries are covered.",
"OED","fin30.t.a.6","Only high-income countries are covered.",
"OED","fin34ay.t.d.s","Only high-income countries are covered.",
"OED","g20.t.7","Only high-income countries are covered.",
"OED","fin25d.a.s.3","Only high-income countries are covered.",
"OED","fin34a.t.a.s","Only high-income countries are covered.",
"OED","fin22a.t.d.2","Only high-income countries are covered.",
"OED","fin31a.t.d","Only high-income countries are covered.",
"OED","fin27a.t.d.s","Only high-income countries are covered.",
