"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"account.t.d","Time series variables","Account (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the .past 12 months (see definition for mobile money account).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the .past 12 months (see definition for mobile money account).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.1","Time series variables","Account, male (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), male (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.10","Time series variables","Account, in labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), in labor force  (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), in labor force  (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.11","Time series variables","Account, out of labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), out of labor force (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), out of labor force (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.2","Time series variables","Account, female (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), female (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), female (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.3","Time series variables","Account, young adults (% ages 15-24)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), young adults  (% age 15-24).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), young adults  (% age 15-24).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.4","Time series variables","Account, older adults (% ages 25+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), older adults (% age 25+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), older adults (% age 25+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.5","Time series variables","Account, primary education or less (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), primary education or less (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), primary education or less (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.6","Time series variables","Account, secondary education or more (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), secondary education or more (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), secondary education or more (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.7","Time series variables","Account, income, poorest 40% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), income, poorest 40%  (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), income, poorest 40%  (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.8","Time series variables","Account, income, richest 60% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), income, richest 60% (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), income, richest 60% (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"account.t.d.9","Time series variables","Account, rural (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), rural (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see definition for financial institution account) or report personally using a mobile money service in the past 12 months (see definition for mobile money account), rural (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a","Time series variables","Financial institution account (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
"fin1.t.a.1","Time series variables","Financial institution account,male(% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+).","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+).","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","",
