"CountryCode","SeriesCode","DESCRIPTION",
"OED","account.t.d","Only high-income countries are covered.",
"OED","account.t.d.1","Only high-income countries are covered.",
"OED","account.t.d.10","Only high-income countries are covered.",
"OED","account.t.d.11","Only high-income countries are covered.",
"OED","account.t.d.2","Only high-income countries are covered.",
"OED","account.t.d.3","Only high-income countries are covered.",
"OED","account.t.d.4","Only high-income countries are covered.",
"OED","account.t.d.5","Only high-income countries are covered.",
"OED","account.t.d.6","Only high-income countries are covered.",
"OED","account.t.d.7","Only high-income countries are covered.",
"OED","account.t.d.8","Only high-income countries are covered.",
"OED","account.t.d.9","Only high-income countries are covered.",
"OED","fing2p.t.d","Only high-income countries are covered.",
"OED","fing2p.t.d.1","Only high-income countries are covered.",
"OED","fing2p.t.d.10","Only high-income countries are covered.",
"OED","fing2p.t.d.11","Only high-income countries are covered.",
"OED","fing2p.t.d.2","Only high-income countries are covered.",
"OED","fing2p.t.d.3","Only high-income countries are covered.",
"OED","fing2p.t.d.4","Only high-income countries are covered.",
"OED","fing2p.t.d.5","Only high-income countries are covered.",
"OED","fing2p.t.d.6","Only high-income countries are covered.",
"OED","fing2p.t.d.7","Only high-income countries are covered.",
"OED","fing2p.t.d.8","Only high-income countries are covered.",
"OED","fing2p.t.d.9","Only high-income countries are covered.",
"OED","mobileaccount.t.d","Only high-income countries are covered.",
"OED","mobileaccount.t.d.1","Only high-income countries are covered.",
"OED","mobileaccount.t.d.10","Only high-income countries are covered.",
"OED","mobileaccount.t.d.11","Only high-income countries are covered.",
"OED","mobileaccount.t.d.2","Only high-income countries are covered.",
"OED","mobileaccount.t.d.3","Only high-income countries are covered.",
"OED","mobileaccount.t.d.4","Only high-income countries are covered.",
"OED","mobileaccount.t.d.5","Only high-income countries are covered.",
"OED","mobileaccount.t.d.6","Only high-income countries are covered.",
"OED","mobileaccount.t.d.7","Only high-income countries are covered.",
"OED","mobileaccount.t.d.8","Only high-income countries are covered.",
"OED","mobileaccount.t.d.9","Only high-income countries are covered.",
