"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"account.t.d","Access","Account (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account"").","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account"").","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.1","Access","Account, female (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), female (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), female (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.10","Access","Account, urban (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), urban (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), urban (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.11","Access","Account, out of labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), out of labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), out of labor force (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.12","Access","Account, in labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), in labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), in labor force (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.2","Access","Account, male (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), male (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), male (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.3","Access","Account, young (% ages 15-24)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), young (% ages 15-24)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), young (% ages 15-24)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.4","Access","Account, older (% age 25+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), older (% age 25+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), older (% age 25+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.5","Access","Account, primary education or less (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), primary education or less (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), primary education or less (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.6","Access","Account, secondary education or more (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), secondary education or more (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), secondary education or more (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.7","Access","Account, income, poorest 40% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), poorest 40% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), poorest 40% (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.8","Access","Account, income, richest 60% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), richest 60% (% ages 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), richest 60% (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"account.t.d.9","Access","Account , rural (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), rural (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), rural (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any","Usage","Borrowed any money (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year.","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.1","Usage","Borrowed any money, female (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, female (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, female (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.10","Usage","Borrowed any money, urban (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, urban (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, urban (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.11","Usage","Borrowed any money, out of labor force (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, out of labor force (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, out of labor force (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.12","Usage","Borrowed any money, in labor force (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, in labor force (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, in labor force (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.2","Usage","Borrowed any money, male (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, male (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, male (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.3","Usage","Borrowed any money, young (% ages 15-24)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, young (% ages 15-24)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, young (% ages 15-24)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.4","Usage","Borrowed any money, older (% age 25+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, older (% age 25+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, older (% age 25+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.5","Usage","Borrowed any money, primary education or less (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, primary education or less (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, primary education or less (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.6","Usage","Borrowed any money, secondary education or more (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, secondary education or more (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, secondary education or more (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.7","Usage","Borrowed any money, income, poorest 40% (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, poorest 40% (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, poorest 40% (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.8","Usage","Borrowed any money, income, richest 60% (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, richest 60% (% ages 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, richest 60% (% ages 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"borrow.any.9","Usage","Borrowed any money, rural (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, rural (% age 15+)","The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, rural (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.1a","Access","First financial institution account ever was opened to receive a wage payment (% age 15+)","The percentage of respondents who report opening a financial institution account for the first timeto receive a wage payment.","The percentage of respondents who report opening a financial institution account for the first timeto receive a wage payment.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.1ab","Access","First financial institution account ever was opened to receive a wage payment or money from the government (% age 15+)","The percentage of respondents who report opening a financial institution account for the first time to receive money from the government or to receive a wage payment.","The percentage of respondents who report opening a financial institution account for the first time to receive money from the government or to receive a wage payment.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.1b","Access","First financial institution ever account was opened to receive money from the government (% age 15+)","The percentage of respondents who report opening a financial institution account for the first timeto receive money from the government.","The percentage of respondents who report opening a financial institution account for the first timeto receive money from the government.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d","Access","Financial institution account (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.1","Access","Financial institution account , female (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, female (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, female (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.10","Access","Financial institution account , urban (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, urban (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, urban (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.11","Access","Financial institution account , out of labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, out of labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, out of labor force (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.12","Access","Financial institution account , in labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, in labor force (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, in labor force (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
"fin1.t.d.2","Access","Financial institution account , male (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+)","The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+)","Percent","Triennial","","","Weighted average","","","","Global Findex database","","","","","","CC BY-4.0",
