Country Name,Country Code,year,borrow_any,fin_account,distance,lack_doc,lack_trust,save_fin_acc,credit_c_purch,mm_account,save_any
Afghanistan,AFG,2011,,0.0901,,,,0.0282,,,
Afghanistan,AFG,2014,0.3486,0.09960000000000001,,,,0.035699999999999996,,0.003,0.2577
Afghanistan,AFG,2017,0.3392,0.14550000000000002,,,,0.036699999999999997,,0.0091,0.1402
Afghanistan,AFG,2021,0.6797,0.0965,0.37729999999999997,0.3613,0.38439999999999996,0.0134,,0.0,0.0562
Albania,ALB,2011,,0.2827,,,,0.08560000000000001,,,
Albania,ALB,2014,0.5678,0.3799,,,,0.0748,,,0.3837
Albania,ALB,2017,0.42969999999999997,0.3932,,,,0.0866,,0.023799999999999998,0.2588
Albania,ALB,2021,0.4269,0.44170000000000004,0.098,0.0546,0.0947,0.0966,,,0.3179
Algeria,DZA,2011,,0.3329,,,,0.0433,,,
Algeria,DZA,2014,0.2579,0.5047999999999999,,,,0.1377,,,0.4531
Algeria,DZA,2017,0.2887,0.4278,,,,0.1142,,,0.38659999999999994
Algeria,DZA,2021,0.3759,0.441,0.0553,0.2285,0.10679999999999999,0.1605,,,0.4569
Angola,AGO,2011,,0.392,,,,0.1592,,,
Angola,AGO,2014,0.3084,0.2932,,,,0.14859999999999998,,,0.5306000000000001
Angola,AGO,2017,,,,,,,,,
Angola,AGO,2021,,,,,,,,,
Argentina,ARG,2011,,0.33130000000000004,,,,0.038,,,
Argentina,ARG,2014,0.337,0.502,,,,0.0408,0.23879999999999998,0.0043,0.2314
Argentina,ARG,2017,0.375,0.4792,,,,0.07200000000000001,0.21030000000000001,0.0242,0.3031
Argentina,ARG,2021,0.5156000000000001,0.6633,0.0689,0.08560000000000001,0.13369999999999999,0.1115,0.2577,0.3508,0.3872
Armenia,ARM,2011,,0.17489999999999997,,,,0.008199999999999999,,,
Armenia,ARM,2014,0.4802,0.1724,,,,0.016399999999999998,,0.0066,0.21
Armenia,ARM,2017,0.5532,0.4533,,,,0.1002,,0.09759999999999999,0.3125
Armenia,ARM,2021,0.5731,0.5225,0.0782,0.071,0.09939999999999999,0.055999999999999994,,0.1674,0.3856
Australia,AUS,2011,,0.9906,,,,0.6192,,,
Australia,AUS,2014,0.7609999999999999,0.9886,,,,0.6143,0.5626,,0.8147
Australia,AUS,2017,0.7172,0.9952,,,,0.6212,0.5685,,0.7929
Australia,AUS,2021,0.67,0.9932,,,,0.6917,0.45840000000000003,,0.8298000000000001
Austria,AUT,2011,,0.9708,,,,0.5159,,,
Austria,AUT,2014,0.5726,0.9673,,,,0.6037,0.34600000000000003,,0.7959999999999999
Austria,AUT,2017,0.616,0.9815999999999999,,,,0.5579999999999999,0.3906,,0.7959999999999999
Austria,AUT,2021,0.6401,0.9995,,,,0.6667000000000001,0.5128,,0.92
Azerbaijan,AZE,2011,,0.149,,,,0.0161,,,
Azerbaijan,AZE,2014,0.4978,0.2915,,,,0.0533,,,0.3954
Azerbaijan,AZE,2017,0.5061,0.2857,,,,0.0453,,,0.26780000000000004
Azerbaijan,AZE,2021,,,,,,,,,
Bahrain,BHR,2011,,0.6451,,,,0.1629,,,
Bahrain,BHR,2014,0.6778,0.8194,,,,0.3468,0.24350000000000002,,0.6529
Bahrain,BHR,2017,0.602,0.8261,,,,0.3071,0.2576,,0.5489
Bahrain,BHR,2021,,,,,,,,,
Bangladesh,BGD,2011,,0.31739999999999996,,,,0.1664,,,
Bangladesh,BGD,2014,0.48369999999999996,0.2914,,,,0.0745,,0.0269,0.2391
Bangladesh,BGD,2017,0.3679,0.4097,,,,0.0992,,0.2125,0.2752
Bangladesh,BGD,2021,0.46130000000000004,0.37689999999999996,0.2297,0.21059999999999998,0.157,0.0601,,0.2901,0.2336
Belarus,BLR,2011,,0.586,,,,0.0681,,,
Belarus,BLR,2014,0.42619999999999997,0.7198,,,,0.14880000000000002,0.12689999999999999,,0.5039
Belarus,BLR,2017,0.4864,0.8116,,,,0.22190000000000001,0.1721,,0.5043
Belarus,BLR,2021,,,,,,,,,
Belgium,BEL,2011,,0.9631000000000001,,,,0.42579999999999996,,,
Belgium,BEL,2014,0.5536,0.9813,,,,0.5550999999999999,0.37,,0.7469
Belgium,BEL,2017,0.5445,0.9864,,,,0.5564,0.4154,,0.6990999999999999
Belgium,BEL,2021,0.5628,0.9901000000000001,,,,0.5695,0.419,,0.7164
Belize,BLZ,2011,,,,,,,,,
Belize,BLZ,2014,0.5517,0.48210000000000003,,,,0.2208,0.0662,,0.5951
Belize,BLZ,2017,,,,,,,,,
Belize,BLZ,2021,,,,,,,,,
Benin,BEN,2011,,0.10460000000000001,,,,0.0702,,,
Benin,BEN,2014,0.3968,0.1598,,,,0.07139999999999999,,0.0202,0.611
Benin,BEN,2017,0.4628,0.3188,,,,0.098,,0.1809,0.49340000000000006
Benin,BEN,2021,0.4718,0.2379,0.2144,0.344,0.13019999999999998,0.051500000000000004,,0.3668,0.4704
Bhutan,BTN,2011,,,,,,,,,
Bhutan,BTN,2014,0.1838,0.3367,,,,0.2257,,,0.3275
Bhutan,BTN,2017,,,,,,,,,
Bhutan,BTN,2021,,,,,,,,,
Bolivia,BOL,2011,,0.2803,,,,0.1707,,,
Bolivia,BOL,2014,0.3705,0.4071,,,,0.2353,,0.0278,0.6445000000000001
Bolivia,BOL,2017,0.4464,0.5121,,,,0.1636,,0.0712,0.5483
Bolivia,BOL,2021,0.4816,0.6796,0.19140000000000001,0.1119,0.1721,0.2004,0.0836,0.1295,0.5599000000000001
Bosnia and Herzegovina,BIH,2011,,0.5621,,,,0.0608,,,
Bosnia and Herzegovina,BIH,2014,0.2792,0.5268999999999999,,,,0.0882,,,0.2562
Bosnia and Herzegovina,BIH,2017,0.2376,0.5884,,,,0.09789999999999999,,,0.212
Bosnia and Herzegovina,BIH,2021,0.4191,0.7934,0.045700000000000005,0.0665,0.0475,0.1866,0.1085,,0.4875
Botswana,BWA,2011,,0.30260000000000004,,,,0.16469999999999999,,,
Botswana,BWA,2014,0.7,0.4924,,,,0.2661,,0.2075,0.5817
Botswana,BWA,2017,0.3749,0.4483,,,,0.1796,,0.2438,0.46840000000000004
Botswana,BWA,2021,,,,,,,,,
Brazil,BRA,2011,,0.5586,,,,0.10289999999999999,,,
Brazil,BRA,2014,0.40270000000000006,0.6812,,,,0.1233,0.28350000000000003,0.0086,0.2797
Brazil,BRA,2017,0.3998,0.7004,,,,0.145,0.2261,0.0484,0.3249
Brazil,BRA,2021,0.5876,0.8356,0.0785,0.061399999999999996,0.057300000000000004,0.22820000000000001,0.3563,0.2696,0.46240000000000003
Bulgaria,BGR,2011,,0.5282,,,,0.048,,,
Bulgaria,BGR,2014,0.36210000000000003,0.6299,,,,0.1434,0.0916,,0.273
Bulgaria,BGR,2017,0.37549999999999994,0.722,,,,0.278,0.10279999999999999,,0.4132
Bulgaria,BGR,2021,0.4777,0.8397,0.0768,0.045,0.1054,0.23120000000000002,0.16079999999999997,,0.5226
Burkina Faso,BFA,2011,,0.1335,,,,0.0791,,,
Burkina Faso,BFA,2014,0.46759999999999996,0.13419999999999999,,,,0.0866,,0.0308,0.5082
Burkina Faso,BFA,2017,0.5233,0.2334,,,,0.1207,,0.33020000000000005,0.5393
Burkina Faso,BFA,2021,0.48369999999999996,0.21050000000000002,0.2023,0.22149999999999997,0.1015,0.07519999999999999,,0.24670000000000003,0.47979999999999995
Burundi,BDI,2011,,0.0724,,,,0.0331,,,
Burundi,BDI,2014,0.6041,0.0694,,,,0.04,,0.0075,0.349
Burundi,BDI,2017,,,,,,,,,
Burundi,BDI,2021,,,,,,,,,
Cambodia,KHM,2011,,0.0366,,,,0.008100000000000001,,,
Cambodia,KHM,2014,0.6206,0.12560000000000002,,,,0.0358,,0.1329,0.67
Cambodia,KHM,2017,0.5871,0.17800000000000002,,,,0.053399999999999996,,0.056600000000000004,0.5155
Cambodia,KHM,2021,0.5502,0.326,0.2608,0.28300000000000003,0.1263,0.0667,,0.066,0.3222
Cameroon,CMR,2011,,0.1481,,,,0.09939999999999999,,,
Cameroon,CMR,2014,0.5669,0.11349999999999999,,,,0.07719999999999999,,0.018000000000000002,0.6396000000000001
Cameroon,CMR,2017,0.527,0.2687,,,,0.1092,,0.1514,0.5697
Cameroon,CMR,2021,0.5856,0.2353,0.1924,0.28550000000000003,0.1875,0.0861,,0.4243,0.5903
Canada,CAN,2011,,0.958,,,,0.532,,,
Canada,CAN,2014,0.8503000000000001,0.991,,,,0.6263000000000001,0.731,,0.8220999999999999
Canada,CAN,2017,0.8819,0.9973000000000001,,,,0.6762,0.7918000000000001,,0.8007
Canada,CAN,2021,0.8613,0.9963,,,,0.6391,0.7859,,0.7815000000000001
Central African Republic,CAF,2011,,0.033,,,,0.024700000000000003,,,
Central African Republic,CAF,2014,,,,,,,,,
Central African Republic,CAF,2017,0.3666,0.1375,,,,0.0575,,,0.3973
Central African Republic,CAF,2021,,,,,,,,,
Chad,TCD,2011,,0.08960000000000001,,,,0.0684,,,
Chad,TCD,2014,0.4102,0.077,,,,0.0463,,0.0575,0.4858
Chad,TCD,2017,0.38130000000000003,0.0875,,,,0.0253,,0.1523,0.2688
Chad,TCD,2021,,,,,,,,,
Chile,CHL,2011,,0.4218,,,,0.1242,,,
